Kommunenummer	Stadnamn	Prioritet	Stadtype nynorsk	Stadtype bokmål	Stadtype engelsk	Kommune	Fylke	Lat	Lon	Høgd	Nynorsk	Bokmål	Engelsk	
104	Malakoff	36	Byområde	Byområde	Part of a city	Moss	Østfold	59.42848	10.66440		http://www.yr.no/stad/Noreg/Østfold/Moss/Malakoff/varsel.xml	http://www.yr.no/sted/Norge/Østfold/Moss/Malakoff/varsel.xml	http://www.yr.no/place/Norway/Østfold/Moss/Malakoff/forecast.xml
104	Melløs	36	Byområde	Byområde	Part of a city	Moss	Østfold	59.42100	10.66656		http://www.yr.no/stad/Noreg/Østfold/Moss/Melløs/varsel.xml	http://www.yr.no/sted/Norge/Østfold/Moss/Melløs/varsel.xml	http://www.yr.no/place/Norway/Østfold/Moss/Melløs/forecast.xml
104	Moss	11	By	By	City - large town	Moss	Østfold	59.43402	10.65769	14	http://www.yr.no/stad/Noreg/Østfold/Moss/Moss/varsel.xml	http://www.yr.no/sted/Norge/Østfold/Moss/Moss/varsel.xml	http://www.yr.no/place/Norway/Østfold/Moss/Moss/forecast.xml
104	Moss kirke	55	Kyrkje	Kirke	Church	Moss	Østfold	59.43517	10.66236		http://www.yr.no/stad/Noreg/Østfold/Moss/Moss_kirke/varsel.xml	http://www.yr.no/sted/Norge/Østfold/Moss/Moss_kirke/varsel.xml	http://www.yr.no/place/Norway/Østfold/Moss/Moss_kirke/forecast.xml
104	Refsnes	36	Byområde	Byområde	Part of a city	Moss	Østfold	59.44707	10.61361		http://www.yr.no/stad/Noreg/Østfold/Moss/Refsnes/varsel.xml	http://www.yr.no/sted/Norge/Østfold/Moss/Refsnes/varsel.xml	http://www.yr.no/place/Norway/Østfold/Moss/Refsnes/forecast.xml
104	Skarmyra	56	Tettbebyggelse	Tettbebyggelse	Settlement	Moss	Østfold	59.43065	10.66734		http://www.yr.no/stad/Noreg/Østfold/Moss/Skarmyra/varsel.xml	http://www.yr.no/sted/Norge/Østfold/Moss/Skarmyra/varsel.xml	http://www.yr.no/place/Norway/Østfold/Moss/Skarmyra/forecast.xml
104	Skihytta	41	Turisthytte	Turisthytte	Hut	Moss	Østfold	59.46320	10.72604		http://www.yr.no/stad/Noreg/Østfold/Moss/Skihytta/varsel.xml	http://www.yr.no/sted/Norge/Østfold/Moss/Skihytta/varsel.xml	http://www.yr.no/place/Norway/Østfold/Moss/Skihytta/forecast.xml
104	Øre	36	Byområde	Byområde	Part of a city	Moss	Østfold	59.42409	10.68035		http://www.yr.no/stad/Noreg/Østfold/Moss/Øre/varsel.xml	http://www.yr.no/sted/Norge/Østfold/Moss/Øre/varsel.xml	http://www.yr.no/place/Norway/Østfold/Moss/Øre/forecast.xml
104	Ørehavna	36	Byområde	Byområde	Part of a city	Moss	Østfold	59.42950	10.68233		http://www.yr.no/stad/Noreg/Østfold/Moss/Ørehavna/varsel.xml	http://www.yr.no/sted/Norge/Østfold/Moss/Ørehavna/varsel.xml	http://www.yr.no/place/Norway/Østfold/Moss/Ørehavna/forecast.xml
105	Alvim	56	Tettbebyggelse	Tettbebyggelse	Settlement	Sarpsborg	Østfold	59.27656	11.08369		http://www.yr.no/stad/Noreg/Østfold/Sarpsborg/Alvim~2229863/varsel.xml	http://www.yr.no/sted/Norge/Østfold/Sarpsborg/Alvim~2229863/varsel.xml	http://www.yr.no/place/Norway/Østfold/Sarpsborg/Alvim~2229863/forecast.xml
105	Alvimhaugen	56	Tettbebyggelse	Tettbebyggelse	Settlement	Sarpsborg	Østfold	59.27357	11.08748		http://www.yr.no/stad/Noreg/Østfold/Sarpsborg/Alvimhaugen/varsel.xml	http://www.yr.no/sted/Norge/Østfold/Sarpsborg/Alvimhaugen/varsel.xml	http://www.yr.no/place/Norway/Østfold/Sarpsborg/Alvimhaugen/forecast.xml
