Postnr	Poststad	Bruksområde	Kommunenummer	Lat	Lon	Merknad	Nynorsk	Bokmål	Engelsk	
7771	Flatanger	Postboksar	1749	64.49985	10.89422	Datakvalitet: 1. Koordinatar endra 11.10.2011. Oppdatert 18.10.2012	http://www.yr.no/sted/Norge/postnummer/7771/varsel.xml	http://www.yr.no/sted/Norge/postnummer/7771/varsel.xml	http://www.yr.no/sted/Norge/postnummer/7771/varsel.xml	
7777	Nord-Statland	Gateadresser og postboksar	1725	64.49690	11.14750	Datakvalitet: 5. Koordinatar endra 28.09.2012. Oppdatert 18.10.2012	http://www.yr.no/sted/Norge/postnummer/7777/varsel.xml	http://www.yr.no/sted/Norge/postnummer/7777/varsel.xml	http://www.yr.no/sted/Norge/postnummer/7777/varsel.xml	
7790	Malm	Gate-/veg-adresse	1724	64.07210	11.21720	Datakvalitet: 5. Koordinatar endra 28.09.2012. Oppdatert 18.10.2012	http://www.yr.no/sted/Norge/postnummer/7790/varsel.xml	http://www.yr.no/sted/Norge/postnummer/7790/varsel.xml	http://www.yr.no/sted/Norge/postnummer/7790/varsel.xml	
7791	Malm	Postboksar	1724	64.07522	11.22277	Datakvalitet: 1. Koordinatar endra 11.10.2011. Oppdatert 18.10.2012	http://www.yr.no/sted/Norge/postnummer/7791/varsel.xml	http://www.yr.no/sted/Norge/postnummer/7791/varsel.xml	http://www.yr.no/sted/Norge/postnummer/7791/varsel.xml	
7796	Follafoss	Gateadresser og postboksar	1724	63.98627	11.10917	Datakvalitet: 1. Koordinatar endra 11.10.2011. Oppdatert 18.10.2012	http://www.yr.no/sted/Norge/postnummer/7796/varsel.xml	http://www.yr.no/sted/Norge/postnummer/7796/varsel.xml	http://www.yr.no/sted/Norge/postnummer/7796/varsel.xml	
7797	Verrabotn	Gate-/veg-adresse	1724	63.80230	10.58280	Datakvalitet: 5. Koordinatar endra 28.09.2012. Oppdatert 18.10.2012	http://www.yr.no/sted/Norge/postnummer/7797/varsel.xml	http://www.yr.no/sted/Norge/postnummer/7797/varsel.xml	http://www.yr.no/sted/Norge/postnummer/7797/varsel.xml	
7800	Namsos	Gate-/veg-adresse	1703	64.46750	11.49180	Datakvalitet: 6. Koordinatar endra 29.09.2012. Oppdatert 18.10.2012	http://www.yr.no/sted/Norge/postnummer/7800/varsel.xml	http://www.yr.no/sted/Norge/postnummer/7800/varsel.xml	http://www.yr.no/sted/Norge/postnummer/7800/varsel.xml	
7801	Namsos	Postboksar	1703	64.46788	11.49164	Datakvalitet: 6. Koordinatar endra 29.09.2012. Oppdatert 18.10.2012	http://www.yr.no/sted/Norge/postnummer/7801/varsel.xml	http://www.yr.no/sted/Norge/postnummer/7801/varsel.xml	http://www.yr.no/sted/Norge/postnummer/7801/varsel.xml	
7802	Namsos	Gate-/veg-adresse	1703	64.46750	11.49180	Datakvalitet: 6. Koordinatar endra 24.09.2012. Oppdatert 18.10.2012	http://www.yr.no/sted/Norge/postnummer/7802/varsel.xml	http://www.yr.no/sted/Norge/postnummer/7802/varsel.xml	http://www.yr.no/sted/Norge/postnummer/7802/varsel.xml	
7803	Namsos	Gate-/veg-adresse	1703	64.46750	11.49180	Datakvalitet: 6. Koordinatar endra 24.09.2012. Oppdatert 18.10.2012	http://www.yr.no/sted/Norge/postnummer/7803/varsel.xml	http://www.yr.no/sted/Norge/postnummer/7803/varsel.xml	http://www.yr.no/sted/Norge/postnummer/7803/varsel.xml	
7804	Namsos	Gate-/veg-adresse	1703	64.46750	11.49180	Datakvalitet: 6. Koordinatar endra 24.09.2012. Oppdatert 18.10.2012	http://www.yr.no/sted/Norge/postnummer/7804/varsel.xml	http://www.yr.no/sted/Norge/postnummer/7804/varsel.xml	http://www.yr.no/sted/Norge/postnummer/7804/varsel.xml	
7805	Namsos	Gate-/veg-adresse	1703	64.46750	11.49180	Datakvalitet: 6. Koordinatar endra 24.09.2012. Oppdatert 18.10.2012	http://www.yr.no/sted/Norge/postnummer/7805/varsel.xml	http://www.yr.no/sted/Norge/postnummer/7805/varsel.xml	http://www.yr.no/sted/Norge/postnummer/7805/varsel.xml	
7808	Namsos	Postboksar	1703	64.47020	11.52037	Datakvalitet: 6. Koordinatar endra 29.09.2012. Oppdatert 18.10.2012	http://www.yr.no/sted/Norge/postnummer/7808/varsel.xml	http://www.yr.no/sted/Norge/postnummer/7808/varsel.xml	http://www.yr.no/sted/Norge/postnummer/7808/varsel.xml	
